"","x"
"110","This pls it faboulous I love it ,<U+2764><U+FE0F><U+2764><U+FE0F> That zebra knit beautiful #Oasis #ZSL LIKE SHARED <ed><U+00A0><U+00BE><ed><U+00B4><U+009E><ed><U+00A0><U+00BE><ed><U+00B4><U+009E><ed><U+00A0><U+00BE><ed><U+00B4><U+009E><ed><U+00A0><U+00BE><ed><U+00B4><U+009E><U+2764><U+FE0F> Teresa Caulfield Fenlon Susan Caulfield"
"111","THAT zebra knit looks fabulous. Would love to win it. X x"
"112","This! 
Gorgeous and stylish <ed><U+00A0><U+00BD><ed><U+00B2><U+0099><ed><U+00A0><U+00BE><ed><U+00B4><U+0098>Liking and sharing xx Thank you xx <ed><U+00A0><U+00BD><ed><U+00B2><U+009B><ed><U+00A0><U+00BE><ed><U+00B4><U+0093>
Hayliegh Martin xx"
"113","#Love #winit that zebra jumper, it's my favourite of the new season!! X"
"114","THAT zebra knit <ed><U+00A0><U+00BD><ed><U+00B8><U+008D> perfect inspo to get back in my skinny jeans post baby in October!"
"115","THAT definitely #OasisxZSL #thewildestdream perfect on a day like today!"
"116","I love THIS!! My favourite animal & a gorgeous skirt! X"
"117","THAT zebra knit is what i think my girlfriend would opt for."
"118","THAT zebra knit is lovely!  I would love to win! #Win #TheWildestDream #OasisxZSL"
"119","That zebra Knit...not something I would normally go for but it's gorgeous <ed><U+00A0><U+00BD><ed><U+00B8><U+008D>"
"120","I love the Zebra knit print.  It is unique and secretive."
"121","Absolutely love <ed><U+00A0><U+00BD><ed><U+00B2><U+0096> THAT Zebra knit <ed><U+00A0><U+00BD><ed><U+00B2><U+0096> #WIN #OasisFashion xx"
"122","THIS cheetah print skirt would be ideal for my holidays , I love it <ed><U+00A0><U+00BD><ed><U+00B2><U+0096>"
"123","Shouldn't have to be talking jumpers this time of year but it will be the Zebra know all the way!"
"124","This skirt, for some reason large single animals on tops kinda scare me... #OasisZSL."
"125","This. Saw it yesterday as I walked past a store and did a 2nd glance. It's lovely"
"126","Loving the cheetah print skirt! #WINIT #oasisxZSL #thewildestdream. Liked and shared."
"127","THIS!!  Love the design of skirt  beautiful detail and artwork :D brill for summer and winter   #OasisZSL #win"
"128","This please! Not ready to go into a jumper and jeans, the sun will come out again right?!"
"129","THAT

Love it! Would be perfect for Jumper season <ed><U+00A0><U+00BD><ed><U+00B8><U+008A>

LoveLoveLove <U+2764><U+FE0F>

Ellie Tearle

#OasisZSL #thewildestdream"
"130","THAT i love zebras!! don't know why just love them on anything! super cute jumper"
"131","What a great prize  x would love the skirt for my holls x"
"132","That !:) I would normally go for the shirt but I feel inspired to to show my funky zebra side!"
"133","I saw the zebra jumper in store the other day. I absolutely adore it!! <U+2764><U+FE0F><ed><U+00A0><U+00BD><ed><U+00B8><U+008D> I had to literally prize myself away from it"
"134","That Zebra Knit! I ordered a few things from the collection which arrived on my birthday, love them! <ed><U+00A0><U+00BE><ed><U+00B6><U+008B>"
"135","That zebra knit! Always have loads of summer clothes and nothing pretty come winter"
"136","THAT zebra knit! Perfect for taking a walk on the wild Side!"
"137","zebra knit all the way ... even though they would look great together!"
"138","The zebra jumper. Zebra obsessed love the ZSL prints so much <ed><U+00A0><U+00BD><ed><U+00B8><U+008D><ed><U+00A0><U+00BD><ed><U+00B8><U+008D><ed><U+00A0><U+00BD><ed><U+00B8><U+008D> #oasisxZXL"
"139","THAT it is just perfectly quirky and I just so happen to love zebras so it's a #win win <ed><U+00A0><U+00BD><ed><U+00B8><U+009D>"
"140","THAT zebra knit would be perfect for the autumn, for work or relaxing at home. Fingers crossed <ed><U+00A0><U+00BE><ed><U+00B4><U+009E>"
"141","THAT <ed><U+00A0><U+00BD><ed><U+00B8><U+008D> Love it !"
"142","That please fantastic giveaway thank you for the chance liked and shared Anna Brown Alison Burns Kerry Jones Pam Beer <U+2764><ed><U+00A0><U+00BD><ed><U+00B8><U+008A>"
"143","THAT Please"
"144","That please x"
"145","#THAT zebra knit is gorgeous! #OasisZSL"
"146","This cheetah <ed><U+00A0><U+00BD><ed><U+00B0><U+0086>print skirt <ed><U+00A0><U+00BD><ed><U+00B9><U+008F><ed><U+00A0><U+00BC><ed><U+00BF><U+00BB><ed><U+00A0><U+00BD><ed><U+00B8><U+008D><ed><U+00A0><U+00BD><ed><U+00B2><U+0095>xxx"
"147","That Zebra print looks striking"
"148","THAT <ed><U+00A0><U+00BD><ed><U+00B2><U+009B>"
"149","THAT zebra knit. It would be perfect for the EDS zebras I know. (For a rare disease, I know/ know of quite a few.)"
"150","<ed><U+00A0><U+00BD><ed><U+00B0><U+0086><U+2764><ed><U+00A0><U+00BD><ed><U+00B0><U+0086><U+2764><ed><U+00A0><U+00BD><ed><U+00B0><U+0086><U+2764><ed><U+00A0><U+00BD><ed><U+00B0><U+0086>
#Win #TheWildestDream #OasisxZSL
My favourite is the skirt which looks cool n trendy
Join frenz
Shruti Mahajan
Nimisha Mehra
Sheetal Chaudhary
Balbir Kaur Arora Sawhney"
"151","THAT please. What a lovely prize to win. I love Oasis clothes X"
"152","THAT - definitely, although this whole collection is amazing! <U+2764>"
"153","Love them both .... THAT Zebra jumper would be amazing to wear for School the kids would love it x"
"154","THIS cheetah print skirt. Lovely for work or relaxing x"
"155","<ed><U+00A0><U+00BD><ed><U+00B0><U+0086><U+2764><ed><U+00A0><U+00BD><ed><U+00B0><U+0086><U+2764><ed><U+00A0><U+00BD><ed><U+00B0><U+0086><U+2764><ed><U+00A0><U+00BD><ed><U+00B0><U+0086>
#Win #TheWildestDream #OasisxZSL
My favourite is the skirt which looks cool n trendy
Join frenz
Shweta Mahajan
Mayank Mahajan
Garima Mayank Khanna
Kanika Singh Khosla
Trupti Patil"
"156","That please liked and shared thanks"
"157","That would be great to win liked and shared"
"158","I prefer THIS cheetah print skirt #OasisxZSL  #thewildestdream"
"159","THAT! It's lovely <U+2764><U+FE0F>"
"160","THAT <ed><U+00A0><U+00BD><ed><U+00B8><U+008D> 

Great giveaway <ed><U+00A0><U+00BD><ed><U+00B8><U+0083> Liked & shared. Fingers crossed <ed><U+00A0><U+00BE><ed><U+00B4><U+009E>"
"161","That definitely <ed><U+00A0><U+00BD><ed><U+00B8><U+008D><ed><U+00A0><U+00BD><ed><U+00B2><U+009E>"
"162","I love THAT zebra knit. X X"
"163","That the zebra knit"
"164","THAT #OasisxZSL"
"165","THAT please x x"
"166","THAT please"
"167","THAT Zebra Knit!"
"168","That <ed><U+00A0><U+00BD><ed><U+00B8><U+008A>"
"169","THAT Zebra knit is great !"
"170","That!
Liked and shared! X"
"171","That zebra knit<ed><U+00A0><U+00BD><ed><U+00B8><U+0081>"
"172","That, love the zebra knit!"
"173","THAT zebra knit <ed><U+00A0><U+00BD><ed><U+00B8><U+008D>"
"174","That!! Love the cute zebra jumper <ed><U+00A0><U+00BD><ed><U+00B8><U+008A><ed><U+00A0><U+00BD><ed><U+00B8><U+008A>"
"175","Love THAT zebra knit #WINIT #OasisZSL #thewildestdream"
"176","THAT pretty please"
"177","Love THAT Zebra knit #WINIT"
"178","That <ed><U+00A0><U+00BD><ed><U+00B8><U+008A>"
"179","Defnitely the zebra. It is super cute! :D"
"180","THAT <ed><U+00A0><U+00BD><ed><U+00B8><U+008D>"
"181","That
Thank you liked and sharing
Lynn Mcdonnell
Rebecca Roberts
Xx"
"182","THAT looks great"
"183","That <ed><U+00A0><U+00BD><ed><U+00B8><U+0080>"
"184","That zebra knit"
"185","That I love it"
"186","That please"
"187","THAT zebra print, love it <ed><U+00A0><U+00BD><ed><U+00B8><U+008D>"
"188","That <ed><U+00A0><U+00BE><ed><U+00B6><U+0084><ed><U+00A0><U+00BD><ed><U+00B2><U+0097>"
"189","THAT zebra knit"
"190","Love THAT zebra knit! <U+2764><U+FE0F><ed><U+00A0><U+00BD><ed><U+00B2><U+009C><U+2764><U+FE0F><ed><U+00A0><U+00BD><ed><U+00B2><U+009C><U+2764><U+FE0F><ed><U+00A0><U+00BD><ed><U+00B2><U+009C>"
"191","THAT! #OasisxZSL"
"192","THAT <ed><U+00A0><U+00BD><ed><U+00B8><U+008D> #oasisZSL #thewildestdream"
"193","I love that zebra knit"
"194","THAT"
"195","That zebra knit"
"196","THAT zebra knit!"
"197","THAT zebra knit...<ed><U+00A0><U+00BD><ed><U+00B8><U+008D>"
"198","Love THAT zebra"
"199","That <ed><U+00A0><U+00BD><ed><U+00B2><U+009E>"
"200","THAT
<U+2600><U+2600><U+2600><U+2600><ed><U+00A0><U+00BD><ed><U+00B8><U+0083>"
"201","THAT please"
"202","That <U+2764>"
"203","Definitely THAT jumper!"
"204","That <ed><U+00A0><U+00BD><ed><U+00B8><U+008D>"
"205","Zebra knit please"
"206","LOVE the zebra knit, with the collar!"
"207","This x"
"208","Love that"
"209","THAT zebra knit!! #WIN #OasisxZSL #thewildestdream #oasis"
"210","THAT ZEBRA knit please."
"211","THAT <ed><U+00A0><U+00BD><ed><U+00B8><U+008D>"
"212","This (for once we agree Abbi!)"
"213","THAT!"
"214","THAT Zebra knit #winit"
"215","That <ed><U+00A0><U+00BD><ed><U+00B8><U+008D>"
"216","THIS cheetah print skirt please <ed><U+00A0><U+00BD><ed><U+00B8><U+008D> #WIN #TheWildestDream x"
"217","THAT zebra knit please. Love the ZSL collection!"
"218","That zebra knit! <ed><U+00A0><U+00BD><ed><U+00B8><U+008D>"
"219","THAT <ed><U+00A0><U+00BD><ed><U+00B8><U+0081>"
"220","That <U+2764><U+FE0F><ed><U+00A0><U+00BD><ed><U+00B1><U+008D><ed><U+00A0><U+00BE><ed><U+00B4><U+009E>"
